delivery_id,timestamp,origin_lat,origin_lon,origin_city,dest_lat,dest_lon,dest_city,distance,traffic_index,temperature,precipitation,wind_speed,weather_condition,vehicle_type,vehicle_capacity_weight,vehicle_capacity_volume,vehicle_avg_speed,package_weight,package_volume,package_priority,special_handling,num_stops,day_of_week,time_of_day,actual_delivery_time
DEL000001,2023-09-30 06:00:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.55,7.2,0.24,18.3,cloudy,Sprinter,1500,15,50,314.59,3.29,3,False,3,5,6,2362.04
DEL000002,2023-07-13 20:00:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.45,25.6,0.04,22.0,clear,Medium Truck,3000,20,40,1040.5,0.66,3,False,2,3,20,263.93
DEL000003,2023-05-20 18:00:00,34.0522,-118.2437,Los Angeles,40.7128,-74.006,New York,3935.75,1.15,14.9,0.17,2.0,cloudy,Small Van,1000,10,45,718.63,0.18,3,False,2,5,18,11923.49
DEL000004,2023-10-21 18:00:00,40.7128,-74.006,New York,34.0522,-118.2437,Los Angeles,3935.75,0.82,12.9,0.03,1.0,clear,Medium Truck,3000,20,40,2009.92,15.85,2,False,3,5,18,8865.86
DEL000005,2023-04-17 16:00:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.37,18.6,1.19,18.8,rain,Medium Truck,3000,20,40,1490.93,8.5,2,False,0,0,16,5151.2
DEL000006,2023-02-26 18:00:00,34.0522,-118.2437,Los Angeles,40.7128,-74.006,New York,3935.75,0.53,6.6,1.69,16.8,rain,Sprinter,1500,15,50,110.97,9.45,2,False,3,6,18,8938.88
DEL000007,2023-02-20 08:00:00,29.7604,-95.3698,Houston,40.7128,-74.006,New York,2281.34,1.12,8.2,1.88,4.7,rain,Medium Truck,3000,20,40,96.1,2.85,4,True,3,0,8,8091.94
DEL000008,2023-11-21 09:00:00,29.7604,-95.3698,Houston,39.9526,-75.1652,Philadelphia,2156.27,0.45,9.1,0.02,24.2,clear,Sprinter,1500,15,50,693.7,11.53,4,False,0,1,9,4093.33
DEL000009,2023-03-16 12:00:00,34.0522,-118.2437,Los Angeles,41.8781,-87.6298,Chicago,2803.97,0.3,13.4,0.17,28.5,cloudy,Sprinter,1500,15,50,393.18,0.88,4,False,1,3,12,4519.57
DEL000010,2023-07-17 13:00:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.27,22.9,0.04,1.0,clear,Sprinter,1500,15,50,432.97,4.11,3,False,2,0,13,6459.36
DEL000011,2023-10-14 11:00:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.27,14.2,0.03,0.8,clear,Medium Truck,3000,20,40,2147.58,8.96,4,False,2,5,11,3233.43
DEL000012,2023-08-14 15:00:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.22,26.5,0.09,14.2,clear,Sprinter,1500,15,50,676.97,6.82,3,False,4,0,15,6294.82
DEL000013,2023-08-23 09:00:00,34.0522,-118.2437,Los Angeles,41.8781,-87.6298,Chicago,2803.97,0.4,28.4,0.04,28.3,clear,Sprinter,1500,15,50,1019.03,11.16,5,False,2,2,9,4995.05
DEL000014,2023-09-23 06:00:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.46,10.1,0.02,0.4,clear,Medium Truck,3000,20,40,1770.31,6.07,4,False,3,5,6,2206.36
DEL000015,2023-04-11 10:00:00,40.7128,-74.006,New York,41.8781,-87.6298,Chicago,1144.29,0.44,19.0,0.08,24.9,clear,Medium Truck,3000,20,40,2340.21,4.05,2,False,4,1,10,2190.27
DEL000016,2023-04-26 10:00:00,40.7128,-74.006,New York,39.9526,-75.1652,Philadelphia,129.61,0.4,11.0,0.22,21.2,cloudy,Sprinter,1500,15,50,612.98,4.82,5,False,5,2,10,389.57
DEL000017,2023-01-02 06:00:00,41.8781,-87.6298,Chicago,29.7604,-95.3698,Houston,1515.81,0.32,5.7,0.78,1.8,rain,Sprinter,1500,15,50,669.4,9.0,4,False,4,0,6,3377.12
DEL000018,2023-10-09 12:00:00,41.8781,-87.6298,Chicago,39.9526,-75.1652,Philadelphia,1068.0,0.41,10.7,0.22,27.0,cloudy,Medium Truck,3000,20,40,2187.78,9.46,3,False,4,0,12,2002.47
DEL000019,2023-03-17 10:00:00,29.7604,-95.3698,Houston,34.0522,-118.2437,Los Angeles,2206.26,0.31,17.6,1.4,28.2,rain,Medium Truck,3000,20,40,1200.04,15.69,3,False,1,4,10,4129.71
DEL000020,2023-01-14 18:00:00,41.8781,-87.6298,Chicago,34.0522,-118.2437,Los Angeles,2803.97,0.55,0.3,0.04,17.3,clear,Medium Truck,3000,20,40,896.02,7.62,4,False,5,5,18,5317.69
