delivery_id,timestamp,origin_lat,origin_lon,origin_city,dest_lat,dest_lon,dest_city,distance,traffic_index,temperature,precipitation,wind_speed,weather_condition,vehicle_type,vehicle_capacity_weight,special_handling,num_stops,day_of_week,time_of_day,actual_delivery_time
DEL000001,9/30/2023 6:00,41.8781,-87.6298,Chicago,40.7128,-74.006,New York,1144.29,0.55,7.2,0.24,18.3,cloudy,Sprinter,1500,FALSE,3,5,6,2362.04
DEL000002,7/13/2023 20:00,39.9526,-75.1652,Philadelphia,40.7128,-74.006,New York,129.61,0.45,25.6,0.04,22,clear,Medium Truck,3000,FALSE,2,3,20,263.93
DEL000003,5/20/2023 18:00,34.0522,-118.2437,Los Angeles,40.7128,-74.006,New York,3935.75,1.15,14.9,0.17,2,cloudy,Small Van,1000,FALSE,2,5,18,11923.49
DEL000004,10/21/2023 18:00,40.7128,-74.006,New York,34.0522,-118.2437,Los Angeles,3935.75,0.82,12.9,0.03,1,clear,Medium Truck,3000,FALSE,3,5,18,8865.86
DEL000005,4/17/2023 16:00,40.7128,-74.006,New York,29.7604,-95.3698,Houston,2281.34,0.37,18.6,1.19,18.8,rain,Medium Truck,3000,FALSE,0,0,16,5151.2
DEL000006,2/26/2023 18:00,34.0522,-118.2437,Los Angeles,40.7128,-74.006,New York,3935.75,0.53,6.6,1.69,16.8,rain,Sprinter,1500,FALSE,3,6,18,8938.88
DEL000007,2/20/2023 8:00,29.7604,-95.3698,Houston,40.7128,-74.006,New York,2281.34,1.12,8.2,1.88,4.7,rain,Medium Truck,3000,TRUE,3,0,8,8091.94
DEL000008,11/21/2023 9:00,29.7604,-95.3698,Houston,39.9526,-75.1652,Philadelphia,2156.27,0.45,9.1,0.02,24.2,clear,Sprinter,1500,FALSE,0,1,9,4093.33
DEL000009,3/16/2023 12:00,34.0522,-118.2437,Los Angeles,41.8781,-87.6298,Chicago,2803.97,0.3,13.4,0.17,28.5,cloudy,Sprinter,1500,FALSE,1,3,12,4519.57
DEL000010,7/17/2023 13:00,34.0522,-118.2437,Los Angeles,39.9526,-75.1652,Philadelphia,3843.45,0.27,22.9,0.04,1,clear,Sprinter,1500,FALSE,2,0,13,6459.36
