DeliveryID,Distance (km),Package_Weight (kg),Weather_Conditions,Traffic_Level,Start_Time_Delivery,Delivery_Time (mins),Delivery_Difficulty,Distance_Category,Start_Hour,Peak_Hours,Combined_Condition,Efficiency
D001,1.2,4.5,Sunny,Medium,12:23,26,5.3999999999999995,Short,12,0,Sunny + Medium,21.666666666666668
D002,5.8,2.1,Foggy,Low,7:57,76,12.18,Medium,7,1,Foggy + Low,13.10344827586207
D003,10.9,7.7,Snowy,High,12:43,39,83.93,Long,12,0,Snowy + High,3.5779816513761467
D004,12.5,7.8,Rainy,Medium,20:54,70,97.5,Long,20,0,Rainy + Medium,5.6
D005,3.5,7.1,Snowy,Low,18:43,84,24.849999999999998,Short,18,1,Snowy + Low,24.0
D006,19.9,9.3,Cloudy,Low,20:39,56,185.07,Long,20,0,Cloudy + Low,2.814070351758794
D007,9.2,4.5,Sunny,Medium,19:03,11,41.4,Medium,19,1,Sunny + Medium,1.1956521739130437
D008,13.4,9.5,Snowy,Low,17:06,35,127.3,Long,17,1,Snowy + Low,2.6119402985074625
D009,5.5,9.7,Foggy,Medium,10:47,96,53.349999999999994,Medium,10,0,Foggy + Medium,17.454545454545453
D010,2.3,7.8,Rainy,Low,19:39,72,17.939999999999998,Short,19,1,Rainy + Low,31.30434782608696
D011,5.7,5.5,Foggy,Low,10:02,95,31.35,Medium,10,0,Foggy + Low,16.666666666666668
D012,6.5,8.7,Sunny,High,15:16,96,56.55,Medium,15,0,Sunny + High,14.76923076923077
D013,8.7,7.9,Cloudy,Medium,14:36,27,68.73,Medium,14,0,Cloudy + Medium,3.1034482758620694
D014,10.6,3.1,Cloudy,High,14:53,81,32.86,Long,14,0,Cloudy + High,7.6415094339622645
D015,19.4,5.7,Rainy,Medium,18:42,117,110.58,Long,18,1,Rainy + Medium,6.030927835051547
D016,19.1,1.3,Cloudy,Low,15:38,82,24.830000000000002,Long,15,0,Cloudy + Low,4.293193717277487
